country,location_name,latitude,longitude,avg_temperature_celsius,avg_precip_mm,avg_humidity,avg_pm25
Gambia,Banjul,13.45,-16.58,29.5,0.17306569343065695,70.69343065693431,11.931313868613138
Gambia,Banjul,13.4531,-16.5775,23.62731871838111,0.11342327150084318,69.95278246205734,36.872546374367616
Georgia,Tbilisi,41.725,44.7908,14.540134907251263,0.05320404721753794,58.67284991568297,15.337723440134909
Georgia,Tbilisi,41.73,44.79,27.672262773722625,0.06262773722627737,44.35036496350365,10.496642335766422
Germany,Berlin,52.5167,13.4,8.92121212121212,0.0637037037037037,76.35185185185185,17.738030303030303
Germany,Berlin,52.52,13.4,23.151079136690647,0.07589928057553957,51.33812949640288,6.235503597122302
Ghana,Accra,5.55,-0.22,28.015107913669063,0.08877697841726619,74.5179856115108,6.606438848920863
Ghana,Accra,5.55,-0.2167,27.152436974789918,0.0786890756302521,84.1983193277311,19.681487394957983
Greece,Athens,37.9795,23.7162,19.186655405405407,0.047263513513513516,54.847972972972975,19.59835304054054
Greece,Athens,37.98,23.72,32.012408759124085,0.01927007299270073,31.773722627737225,11.362080291970804
Grenada,Saint George's,12.05,-61.75,27.071291208791212,0.14840659340659343,82.50274725274726,11.908332417582416
Guatemala,Guatemala City,14.62,-90.53,18.412408759124087,0.1345985401459854,91.84671532846716,57.05740875912409
Guatemala,Guatemala City,14.6211,-90.5269,16.93904923599321,0.06784380305602716,89.17657045840407,24.752419354838707
Guinea,Conakry,9.5092,-13.7122,25.811804384485665,0.26893760539629,83.45193929173693,32.22037099494098
Guinea,Conakry,9.51,-13.71,27.354676258992807,0.791294964028777,83.38129496402878,3.604676258992806
Guinea-Bissau,Bissau,11.85,-15.5833,24.16795952782462,0.19829679595278246,72.84317032040472,41.63197301854974
Guinea-Bissau,Bissau,11.85,-15.58,29.800719424460432,0.5428057553956834,71.66906474820144,6.235359712230216
Guyana,Georgetown,6.8,-58.17,26.942446043165468,0.4959712230215827,87.0,5.913776978417266
Guyana,Georgetown,6.8,-58.1667,24.029661016949152,0.43910169491525425,96.63050847457627,12.053110169491525
Haiti,Port-Au-Prince,18.5392,-72.335,19.78494077834179,0.020219966159052454,89.35532994923858,36.20264805414551
Haiti,Port-Au-Prince,18.54,-72.34,27.946762589928056,0.04086330935251798,75.0,12.280755395683453
Honduras,Tegucigalpa,14.1,-87.22,20.694927536231884,0.12463768115942028,89.2463768115942,6.62
Honduras,Tegucigalpa,14.1,-87.2167,18.941186440677964,0.057322033898305084,85.92203389830509,12.636542372881356
Hungary,Bogot,47.25,16.8333,7.3816091954023,0.04172413793103448,76.96551724137932,14.116436781609197
Hungary,Budapest,47.5,19.08,27.07769784172662,0.09151079136690649,44.74820143884892,7.0647482014388485
Hungary,Budapest,47.5,19.0833,10.704713804713805,0.047390572390572386,68.55723905723906,22.57561447811448
Iceland,Grindavik,63.83,-22.43,8.894444444444444,0.14722222222222223,74.83333333333333,0.9249999999999999
Iceland,Reykjavik,64.15,-21.95,3.4944649446494465,0.15033210332103322,74.78228782287823,3.5338376383763834
Iceland,Vestmannaeyjar,63.365,-20.2075,5.542857142857143,0.19795031055900622,81.77639751552795,5.06482298136646
Iceland,Vestmannaeyjar,63.37,-20.21,9.2,0.17362745098039217,86.62745098039215,2.2202549019607845
Inde,New Delhi,28.6,77.2,31.2,0.0,71.0,34.6
India,New Delhi,28.6,77.2,30.00109439124487,0.056456908344733235,44.66347469220246,110.34614911080712
Indonesia,Bali,-0.14,98.19,29.3,0.0,70.0,7.7
Indonesia,Jakarta,-6.2146,106.8451,30.556397306397308,0.3070707070707071,69.63468013468014,127.1557239057239
Indonesia,Jakarta,-6.21,106.85,28.771942446043166,0.2815107913669065,72.02158273381295,211.43902877697843
Indonesia,Laos,-8.1826,114.3188,27.482828282828283,0.8001851851851852,76.50841750841751,25.882121212121213
Indonesia,Laos,-8.18,114.32,21.832608695652176,0.07637681159420291,88.83333333333333,17.584384057971015
Indonesia,Surabaya,-7.25,112.75,27.7,0.0,74.0,13.6
Iran,Chi Chi Khvar,36.26,46.59,28.57153284671533,0.001094890510948905,19.474452554744527,14.04670802919708
Iran,Chi Chi Khvar,36.2625,46.59,13.554068716094031,0.053037974683544306,37.65641952983725,23.010949367088607
Iran,Tehran,35.7261,51.3304,18.97824620573356,0.022900505902192243,28.249578414839796,62.41807757166947
Iran,Tehran,35.73,51.33,33.04028776978418,0.014460431654676257,17.179856115107913,23.527949640287773
Iraq,Baghdad,33.3386,44.3939,25.159327731092436,0.023495798319327733,35.089075630252104,39.75826890756302
Iraq,Baghdad,33.34,44.39,42.65611510791367,0.0,12.856115107913668,22.41636690647482
Ireland,Dublin,53.33,-6.25,16.473913043478262,0.11971014492753623,69.6086956521739,4.142028985507246
Ireland,Dublin,53.3331,-6.2489,9.423946037099494,0.13777403035413155,84.43338954468803,10.629392917369309
Israel,Jerusalem,31.78,35.23,23.19289617486339,0.013743169398907105,50.221311475409834,20.746714480874317
Italy,Rome,41.9,12.48,29.937681159420286,0.03355072463768116,42.891304347826086,8.327391304347827
Italy,Rome,41.9,12.4833,15.624033613445377,0.08690756302521009,73.63529411764706,18.843025210084033
Jamaica,Kingston,18.0,-76.8,26.214233576642336,0.12233576642335768,77.10583941605839,10.868576642335766
Jamaica,Norman Gardens,17.97,-76.75,30.33055555555556,0.11861111111111113,69.5,10.491666666666667
Jamaica,Port Royal,17.93,-76.85,28.658823529411762,0.0022549019607843138,77.56862745098039,11.390833333333333
Jamaica,Port Royal,17.9333,-76.85,26.298427672955974,0.2610377358490566,79.36477987421384,14.074544025157232
Japan,Tokyo,35.6895,139.6917,18.228235294117646,0.13005042016806723,55.98655462184874,44.34455462184874
Japan,Tokyo,35.69,139.69,25.876258992805756,0.14424460431654676,77.89928057553956,25.807625899280577
Jemen,Sanaa,15.35,44.21,26.1,0.2,34.0,25.0
Jordan,Amman,31.95,35.93,31.56762589928057,0.00043165467625899277,29.179856115107913,15.757194244604317
Jordan,Amman,31.95,35.9333,18.968067226890756,0.01957983193277311,45.142857142857146,23.81416806722689
Kazakhstan,Astana,51.18,71.43,20.610869565217392,0.11536231884057971,52.007246376811594,3.8711956521739133
Kazakhstan,Astana,51.1811,71.4278,5.566329966329967,0.048552188552188555,63.23737373737374,13.752920875420875
