country,avg_temperature_celsius,avg_precip_mm,avg_humidity,avg_pm25,record_count
Uzbekistan,21.884468664850136,0.05159400544959128,35.70844686648501,23.792772479564032,734
Malta,21.65108991825613,0.05119891008174387,68.73569482288828,15.47157356948229,734
Greece,21.59698216735254,0.04200274348422497,50.51165980795611,18.050521262002743,729
Kenya,21.555449591280656,0.10613079019073571,59.86648501362398,20.585871934604906,734
Swaziland,21.500136798905608,0.05610123119015047,60.19425444596443,18.295902872777017,731
Tunisia,21.498358413132696,0.024035567715458277,66.26128590971273,17.79437756497948,731
Syria,21.456147540983608,0.0242896174863388,41.57786885245902,23.578572404371585,732
Jordan,21.35408719346049,0.01595367847411444,42.119891008174385,22.288392370572208,734
Haiti,21.339041095890412,0.02415068493150685,86.62191780821918,31.647657534246576,730
Paraguay,21.10997267759563,0.09703551912568306,66.68032786885246,12.114651639344261,732
Eritrea,21.063623978201637,0.09946866485013625,44.787465940054496,19.553365122615805,734
South Africa,20.686221009549794,0.06316507503410641,51.54024556616644,35.38742155525239,733
Letonia,20.6,1.83,94.0,2.5,1
Algeria,20.156497948016415,0.05132694938440492,64.95348837209302,18.552325581395348,731
Japan,19.676566757493188,0.1327384196185286,60.13623978201635,40.8341553133515,734
Ethiopia,19.594945355191257,0.22830601092896174,52.41530054644809,26.456502732240438,732
Costa Rica,19.346694214876035,0.10162534435261708,84.56887052341598,10.864455922865014,726
Honduras,19.273626373626374,0.07008241758241758,86.5521978021978,11.496043956043957,728
Iran,19.167651195499296,0.03169479606188467,29.980309423347396,38.631335443037976,1422
Albania,19.160245901639342,0.14079234972677596,57.66120218579235,14.880437158469945,732
Lesotho,19.071135430916552,0.06235294117647058,45.41039671682626,20.617236662106706,731
Afghanistan,18.917302452316076,0.03677111716621253,27.212534059945504,18.780510899182563,734
Azerbaijan,18.581967213114755,0.034795081967213114,62.03415300546448,16.85023224043716,732
Morocco,18.430369357045144,0.05443228454172366,80.39261285909713,14.839596443228455,731
Montenegro,18.397537619699044,0.19175102599179206,59.48153214774282,14.978618331053353,731
Italy,18.318826739427013,0.07686221009549796,67.84720327421556,16.863274215552526,733
Vatican City,18.302861035422342,0.07833787465940055,67.87738419618529,16.954393732970026,734
Peru,18.056456043956043,0.00407967032967033,83.79258241758242,22.62552197802198,728
China,18.0109439124487,0.061928864569083454,41.78385772913817,129.9274076607387,731
Monaco,17.637123287671233,0.09956164383561644,63.93287671232877,9.231849315068493,730
Bélgica,17.4,0.12,63.0,1.8,1
Guatemala,17.217079889807163,0.08044077134986226,89.68044077134986,30.84853994490358,726
Bolivia,17.21278350515464,0.11318213058419245,77.93608247422681,12.211213745704466,1455
Georgia,17.004657534246576,0.05497260273972603,55.984931506849314,14.429191780821917,730
Kyrghyzstan,16.921857923497267,0.100724043715847,45.297814207650276,20.060860655737702,732
Portugal,16.82049180327869,0.10472677595628414,77.40710382513662,16.557793715846994,732
Armenia,16.6387448840382,0.049440654843110506,45.096862210095495,13.449795361527968,733
Turkey,16.568262653898767,0.06548563611491108,59.57045143638851,24.37196648426813,1462
San Marino,16.560738714090288,0.11906976744186047,70.62790697674419,15.811350205198359,731
Macedonia,16.41826923076923,0.057129120879120886,61.03846153846154,24.048949175824173,728
